transaction_id,timestamp,sender_id,receiver_id,sender_country,receiver_country,amount_eur,is_flagged,flag_reason,risk_score
TXN0000,2023-01-01 00:00:00,CUST1102,CUST2974,Cyprus,Germany,11437.09,False,Clean,22.91
TXN0001,2023-01-01 00:15:00,CUST1435,CUST2632,Luxembourg,Lithuania,797.41,False,Clean,22.07
TXN0002,2023-01-01 00:30:00,CUST1860,CUST2894,Germany,Luxembourg,4115.95,False,Clean,6.07
TXN0003,2023-01-01 00:45:00,CUST1270,CUST2567,Cyprus,Malta,13414.67,True,Layering,70.03
TXN0004,2023-01-01 01:00:00,CUST1106,CUST2027,Luxembourg,Lithuania,10918.7,False,Clean,23.29
TXN0005,2023-01-01 01:15:00,CUST1071,CUST2630,Netherlands,Estonia,1558.04,False,Clean,10.74
TXN0006,2023-01-01 01:30:00,CUST1700,CUST2733,Lithuania,Germany,12406.33,False,Clean,13.2
TXN0007,2023-01-01 01:45:00,CUST1020,CUST2231,Germany,Latvia,7649.01,False,Clean,24.21
TXN0008,2023-01-01 02:00:00,CUST1614,CUST2565,Luxembourg,Latvia,12778.35,False,Clean,19.05
TXN0009,2023-01-01 02:15:00,CUST1121,CUST2807,Netherlands,Germany,9210.73,False,Clean,30.74
TXN0010,2023-01-01 02:30:00,CUST1466,CUST2321,Germany,Germany,10386.58,False,Clean,15.27
TXN0011,2023-01-01 02:45:00,CUST1214,CUST2913,Luxembourg,Cyprus,14905.77,False,Clean,13.0
TXN0012,2023-01-01 03:00:00,CUST1330,CUST2233,Lithuania,Netherlands,3868.87,False,Clean,34.55
TXN0013,2023-01-01 03:15:00,CUST1458,CUST2670,Netherlands,Luxembourg,9547.21,False,Clean,32.33
TXN0014,2023-01-01 03:30:00,CUST1087,CUST2437,Cyprus,Estonia,7174.66,False,Clean,5.87
TXN0015,2023-01-01 03:45:00,CUST1372,CUST2781,Cyprus,Germany,1072.05,False,Clean,28.12
TXN0016,2023-01-01 04:00:00,CUST1099,CUST2533,Lithuania,Germany,709.82,False,Clean,8.31
TXN0017,2023-01-01 04:15:00,CUST1871,CUST2403,Latvia,Netherlands,2228.81,False,Clean,5.82
